# WHO growth reference table, vendored for PoshanNetra AI (Section 6.4).
# source_url: https://cdn.who.int/media/docs/default-source/child-growth/child-growth-standards/indicators/weight-for-age/expanded-tables/wfa-boys-zscore-expanded-tables.xlsx
# retrieved: 2026-08-28
# sha256(source_xlsx): b5b4748c6bfa5230e2eddafa1767629c349178b08d457f400b59422b8bfef86c
# key column 'Day' is in days; rows: 1857
# sd* columns are WHO's OWN published cut-offs, kept only so the test
# suite can prove our LMS implementation reproduces them exactly.
key,l,m,s,sd3neg,sd2neg,sd2pos,sd3pos
0,0.3487,3.3464,0.14602,2.08,2.459,4.419,5.031
1,0.3127,3.3174,0.14693,2.065,2.437,4.394,5.013
2,0.3029,3.337,0.14676,2.08,2.454,4.421,5.045
3,0.2959,3.3627,0.14647,2.1,2.475,4.453,5.083
4,0.2903,3.3915,0.14611,2.122,2.499,4.49,5.124
5,0.2855,3.4223,0.14571,2.146,2.525,4.528,5.167
6,0.2813,3.4545,0.14528,2.17,2.551,4.568,5.211
7,0.2776,3.4879,0.14483,2.195,2.579,4.609,5.257
8,0.2742,3.5222,0.14436,2.221,2.607,4.65,5.303
9,0.2711,3.5576,0.14388,2.248,2.637,4.693,5.351
10,0.2681,3.5941,0.14339,2.276,2.667,4.738,5.4
11,0.2654,3.6319,0.1429,2.304,2.698,4.784,5.451
12,0.2628,3.671,0.14241,2.333,2.73,4.831,5.503
13,0.2604,3.7113,0.14192,2.363,2.764,4.88,5.558
14,0.2581,3.7529,0.14142,2.395,2.798,4.931,5.613
15,0.2558,3.7956,0.14093,2.426,2.833,4.983,5.671
16,0.2537,3.8389,0.14044,2.459,2.869,5.035,5.729
17,0.2517,3.8828,0.13996,2.491,2.905,5.089,5.787
18,0.2497,3.927,0.13948,2.524,2.941,5.143,5.847
19,0.2478,3.9714,0.139,2.557,2.977,5.196,5.906
20,0.246,4.0158,0.13853,2.59,3.014,5.25,5.965
21,0.2442,4.0603,0.13807,2.624,3.051,5.304,6.024
22,0.2425,4.1046,0.13761,2.657,3.087,5.358,6.083
23,0.2408,4.1489,0.13715,2.69,3.124,5.411,6.142
24,0.2392,4.193,0.1367,2.723,3.16,5.464,6.2
25,0.2376,4.2369,0.13626,2.756,3.197,5.517,6.259
26,0.2361,4.2806,0.13582,2.789,3.233,5.57,6.316
27,0.2346,4.324,0.13539,2.822,3.269,5.622,6.373
28,0.2331,4.3671,0.13497,2.854,3.305,5.674,6.43
29,0.2317,4.41,0.13455,2.887,3.34,5.725,6.487
30,0.2303,4.4525,0.13413,2.919,3.376,5.776,6.542
31,0.229,4.4946,0.13372,2.951,3.411,5.827,6.597
32,0.2276,4.5363,0.13332,2.982,3.445,5.877,6.652
33,0.2263,4.5776,0.13292,3.014,3.48,5.926,6.706
34,0.225,4.6185,0.13253,3.045,3.514,5.975,6.759
35,0.2237,4.659,0.13215,3.076,3.548,6.023,6.812
36,0.2225,4.699,0.13177,3.107,3.581,6.071,6.864
37,0.2213,4.7386,0.13139,3.137,3.615,6.118,6.915
38,0.2201,4.7778,0.13102,3.167,3.648,6.164,6.965
39,0.2189,4.8166,0.13066,3.197,3.68,6.21,7.016
40,0.2178,4.8549,0.1303,3.227,3.712,6.256,7.065
41,0.2166,4.8928,0.12994,3.256,3.744,6.3,7.114
42,0.2155,4.9303,0.1296,3.285,3.776,6.345,7.162
43,0.2144,4.9674,0.12925,3.314,3.807,6.388,7.209
44,0.2133,5.0041,0.12891,3.342,3.838,6.432,7.256
45,0.2122,5.0404,0.12858,3.37,3.869,6.475,7.303
46,0.2112,5.0763,0.12825,3.398,3.9,6.517,7.349
47,0.2101,5.1118,0.12792,3.426,3.93,6.558,7.394
48,0.2091,5.1469,0.1276,3.454,3.96,6.6,7.438
49,0.2081,5.1817,0.12729,3.481,3.989,6.641,7.483
50,0.2071,5.2161,0.12698,3.508,4.018,6.681,7.526
51,0.2061,5.2501,0.12667,3.534,4.047,6.721,7.569
52,0.2052,5.2837,0.12637,3.561,4.076,6.76,7.612
53,0.2042,5.3171,0.12607,3.587,4.104,6.799,7.654
54,0.2032,5.35,0.12577,3.613,4.133,6.837,7.696
55,0.2023,5.3826,0.12548,3.639,4.16,6.876,7.737
56,0.2014,5.4149,0.1252,3.664,4.188,6.913,7.777
57,0.2005,5.4468,0.12491,3.689,4.215,6.95,7.817
58,0.1996,5.4784,0.12463,3.714,4.242,6.987,7.857
59,0.1987,5.5097,0.12436,3.739,4.269,7.024,7.896
60,0.1978,5.5407,0.12409,3.764,4.296,7.06,7.935
61,0.1969,5.5714,0.12382,3.788,4.322,7.095,7.974
62,0.196,5.6018,0.12356,3.812,4.348,7.131,8.012
63,0.1952,5.6319,0.1233,3.836,4.374,7.166,8.049
64,0.1943,5.6617,0.12304,3.86,4.4,7.2,8.087
65,0.1935,5.6912,0.12279,3.884,4.425,7.234,8.123
66,0.1926,5.7205,0.12254,3.907,4.45,7.268,8.16
67,0.1918,5.7494,0.12229,3.93,4.475,7.302,8.196
68,0.191,5.7781,0.12205,3.953,4.5,7.335,8.232
69,0.1902,5.8065,0.12181,3.976,4.525,7.368,8.267
70,0.1894,5.8346,0.12157,3.998,4.549,7.4,8.302
71,0.1886,5.8625,0.12134,4.021,4.573,7.433,8.337
72,0.1878,5.8901,0.12111,4.043,4.597,7.464,8.371
73,0.187,5.9174,0.12088,4.065,4.62,7.496,8.405
74,0.1863,5.9445,0.12066,4.087,4.644,7.527,8.438
75,0.1855,5.9713,0.12044,4.108,4.667,7.558,8.471
76,0.1847,5.9979,0.12022,4.13,4.69,7.589,8.504
77,0.184,6.0242,0.12001,4.151,4.713,7.619,8.537
78,0.1832,6.0503,0.1198,4.172,4.736,7.649,8.569
79,0.1825,6.0762,0.11959,4.193,4.758,7.679,8.601
80,0.1818,6.1018,0.11939,4.213,4.78,7.709,8.633
81,0.181,6.1272,0.11918,4.234,4.802,7.738,8.664
82,0.1803,6.1523,0.11899,4.254,4.824,7.767,8.695
83,0.1796,6.1772,0.11879,4.274,4.846,7.795,8.726
84,0.1789,6.2019,0.1186,4.294,4.867,7.824,8.756
85,0.1782,6.2264,0.11841,4.314,4.888,7.852,8.787
86,0.1775,6.2507,0.11822,4.334,4.909,7.88,8.817
87,0.1768,6.2748,0.11803,4.353,4.93,7.907,8.846
88,0.1761,6.2986,0.11785,4.372,4.951,7.935,8.876
89,0.1754,6.3223,0.11767,4.392,4.972,7.962,8.905
90,0.1747,6.3457,0.1175,4.41,4.992,7.989,8.934
91,0.174,6.369,0.11732,4.429,5.012,8.016,8.962
92,0.1734,6.3921,0.11715,4.448,5.032,8.042,8.991
93,0.1727,6.4149,0.11698,4.466,5.052,8.069,9.019
94,0.172,6.4376,0.11682,4.485,5.072,8.095,9.047
95,0.1714,6.4601,0.11666,4.503,5.091,8.121,9.075
96,0.1707,6.4824,0.11649,4.521,5.111,8.146,9.102
97,0.1701,6.5046,0.11634,4.539,5.13,8.172,9.13
98,0.1694,6.5265,0.11618,4.557,5.149,8.197,9.157
99,0.1688,6.5483,0.11603,4.574,5.168,8.222,9.184
100,0.1682,6.5699,0.11588,4.592,5.187,8.247,9.211
101,0.1675,6.5914,0.11573,4.609,5.205,8.272,9.237
102,0.1669,6.6126,0.11558,4.626,5.224,8.296,9.263
